Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1207392397,nba,2017/04/25,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,297.90,,2,20,Tournament,1,1.80,https://www.fanduel.com/entry/EZRVMCUVA,
S1207392082,nba,2017/04/25,NBA $1 Double Up (Experienced Players Excluded),$60k,297.90,,1,22,Tournament,1,2.00,https://www.fanduel.com/entry/DJZJLPIIK,
S1207365398,nba,2017/04/25,NBA $1 Double Up (Experienced Players Excluded),$60k,297.90,,1,22,Tournament,1,2.00,https://www.fanduel.com/entry/COBHVDOAD,
S1207035517,nba,2017/04/25,Buzzer Beater $5_000 NBA Free Play,$60k,297.90,,1091,122445,Tournament,0,0,https://www.fanduel.com/entry/DPIJSRMIA,
S1206896080,nba,2017/04/25,NBA BPN League (NBA Game 9),$60k,259.10,,1,2,Tournament,0,0,https://www.fanduel.com/entry/DBYUOEMHE,
S1206375296,nba,2017/04/24,NBA BPN League (NBA Game 8),$60k,268.20,,1,3,Tournament,0,0,https://www.fanduel.com/entry/BFVMUIIUK,
S1206372840,nba,2017/04/24,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,294.50,,4,20,Tournament,1,1.80,https://www.fanduel.com/entry/DURKTKMAC,
S1206372805,nba,2017/04/24,NBA $2 50/50 Contest (Beginners Only) (Main),$60k,294.50,,3,20,Tournament,2,3.60,https://www.fanduel.com/entry/ELGKWFRLI,
S1206372604,nba,2017/04/24,$1 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/BGXHVCOCG,
S1206372586,nba,2017/04/24,$2 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/BVWPLXJTY,
S1206372465,nba,2017/04/24,$1 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/DUDNHALZM,
S1206372450,nba,2017/04/24,$2 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/BGJKIHJFU,
S1206372433,nba,2017/04/24,$5 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,5,4.50,https://www.fanduel.com/entry/DTBSHZABA,
S1206372312,nba,2017/04/24,$1 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/EEVPAHXJU,
S1206372272,nba,2017/04/24,$2 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/AUBQDDHAO,
S1206372252,nba,2017/04/24,$5 NBA Head-To-Head (Beginners Only) ,$60k,294.50,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/CTYGKKLYG,
S1206372221,nba,2017/04/24,NBA $2 Double Up (Beginners Only),$60k,294.50,,4,22,Tournament,2,4.00,https://www.fanduel.com/entry/EFJMNDCGG,
S1206372146,nba,2017/04/24,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,294.50,,1,20,Tournament,1,1.80,https://www.fanduel.com/entry/BTSZNBVDY,
S1206372113,nba,2017/04/24,NBA $2 50/50 Contest (Beginners Only) (Main),$60k,294.50,,2,20,Tournament,2,3.60,https://www.fanduel.com/entry/AYWTNIDFU,
S1206372058,nba,2017/04/24,NBA $1 Double Up (Beginners Only),$60k,294.50,,2,22,Tournament,1,2.00,https://www.fanduel.com/entry/DRZXIEXJM,
S1206371996,nba,2017/04/24,NBA $2 Double Up (Beginners Only),$60k,294.50,,2,22,Tournament,2,4.00,https://www.fanduel.com/entry/BUGXAELXQ,
S1206371630,nba,2017/04/24,$100 NBA Beginner's Only Free Play,$60k,294.50,,128,1513,Tournament,0,0,https://www.fanduel.com/entry/CHQMANIMS,
S1205894179,nba,2017/04/23,NBA BPN League (NBA Game 7),$60k,240,,2,2,Tournament,0,0,https://www.fanduel.com/entry/DCMSLIDIN,
S1205690774,nba,2017/04/23,$5 NBA Head-To-Head (Beginners Only) ,$60k,287.60,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/APGNDOISQ,
S1205690752,nba,2017/04/23,$5 NBA Head-To-Head (Beginners Only) ,$60k,287.60,0,1,2,2 player league,5,9.00,https://www.fanduel.com/entry/BRPJYWELG,
S1205690370,nba,2017/04/23,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,238.10,,9,20,Tournament,1,1.80,https://www.fanduel.com/entry/CVNZGTHRW,
S1205689063,nba,2017/04/23,$250 NBA Mini Dribbler (Single Entry),$60k,287.60,,15,294,Tournament,1,3.10,https://www.fanduel.com/entry/ACYSYZEHW,
S1205687251,nba,2017/04/23,$1 NBA Head-To-Head (Beginners Only) ,$60k,238.10,0,2,2,2 player league,1,0,https://www.fanduel.com/entry/FCXGPEBIA,
S1205687175,nba,2017/04/23,NBA $2 50/50 Contest (Beginners Only) (Main),$60k,238.10,,12,20,Tournament,2,0,https://www.fanduel.com/entry/EIBAPGQLG,
S1205687123,nba,2017/04/23,NBA $1 50/50 Contest (Beginners Only) (Main),$60k,238.10,,7,20,Tournament,1,1.80,https://www.fanduel.com/entry/BJOVXJVFW,
S1205687060,nba,2017/04/23,NBA $2 Double Up (Beginners Only),$60k,238.10,,11,22,Tournament,2,0,https://www.fanduel.com/entry/CFMWWTWWY,
S1205687033,nba,2017/04/23,NBA $1 Double Up (Beginners Only),$60k,238.10,,10,22,Tournament,1,1.00,https://www.fanduel.com/entry/DWVBJEAEM,
S1205686948,nba,2017/04/23,$100 NBA Beginner's Only Free Play,$60k,238.10,,464,1066,Tournament,0,0,https://www.fanduel.com/entry/BTTAEKZOE,
S1205685890,nba,2017/04/23,NBA Beginner Double Up ($1),$60k,287.60,,1,11,Tournament,1,2.00,https://www.fanduel.com/entry/EQBOYIPVG,
S1205685829,nba,2017/04/23,NBA Beginner Double Up ($2),$60k,287.60,,2,11,Tournament,2,4.00,https://www.fanduel.com/entry/EZDYFIFOU,
S1205117307,nba,2017/04/22,NBA Fantasy Playoffs presented by Bud Light ,$60k,245.70,,29219,53168,Tournament,0,0,https://www.fanduel.com/entry/COPFOKNIZ,
S1205036723,nba,2017/04/22,$1 NBA Head-To-Head (Beginners Only) ,$60k,245.70,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/CLJUZDFPM,
S1205035574,nba,2017/04/22,NBA $2 Double Up (Beginners Only),$60k,245.70,,9,22,Tournament,2,4.00,https://www.fanduel.com/entry/CTKJHIVHU,
S1205035467,nba,2017/04/22,NBA $2 50/50 Contest (Beginners Only) (Main),$60k,245.70,,13,20,Tournament,2,0,https://www.fanduel.com/entry/EPNREIZQK,
S1205034185,nba,2017/04/22,NBA BPN League (NBA Game 6),$60k,268.40,,2,2,Tournament,0,0,https://www.fanduel.com/entry/ABWXZIUPI,
S1205033976,nba,2017/04/22,$100 NBA Beginner's Only Free Play,$60k,245.70,,649,1182,Tournament,0,0,https://www.fanduel.com/entry/ANQUSCWTY,
S1204369507,nba,2017/04/21,50/50 Contest ($1 - Top 50% Win) (Main),$60k,271.70,,9,50,50 player league,1,1.80,https://www.fanduel.com/entry/CPQZXGQIB,
S1204356421,nba,2017/04/21,NBA BPN League (NBA Game 5),$60k,271.70,,1,3,Tournament,0,0,https://www.fanduel.com/entry/AXHANRNKB,
S1204356132,nba,2017/04/21,$100 NBA Beginner's Only Free Play,$60k,271.70,,133,1404,Tournament,0,0,https://www.fanduel.com/entry/CIEJELINH,
S1204013718,nba,2017/04/20,NBA $2 50/50 Contest (Beginners Only) (Main),$60k,281.70,,4,20,Tournament,2,3.60,https://www.fanduel.com/entry/EHNCLNLXE,
S1204010608,nba,2017/04/20,NBA $2 Double Up (Beginners Only),$60k,281.70,,6,22,Tournament,2,4.00,https://www.fanduel.com/entry/BOXWAHVUK,
S1204009692,nba,2017/04/20,$100 NBA Beginner's Only Free Play,$60k,281.70,,141,1472,Tournament,0,0,https://www.fanduel.com/entry/EHNCJFUTI,
S1204009212,nba,2017/04/20,NBA Fantasy Playoffs presented by Bud Light ,$60k,281.70,,7982,53683,Tournament,0,0,https://www.fanduel.com/entry/ELGKUBTCW,
